run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds,steps,lambda_entropy,eta,lr_value,lr_rho,lr_policy,tau,rollout_length,batch_size,device,torch_threads,last_objective,last_primal_mse,last_dual_mse,last_theta_grad_norm,last_beta_grad_norm,last_policy_grad_norm
1,SBEED,4000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4653047701622461,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.04338034780473326,0.031888659816487544,-0.8291245711636082,1.0,-0.8448052556203557,0.03359873983680091,96.09925468405709,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:0,1,-3.797659774065464,0.4267765870949209,4.224436361160385,0.6760630299602043,0.3955477109253255,0.01575037596748583
2,SBEED,8000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4668400064112963,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.04338173245211654,0.031887504650645784,-0.8291245711636082,1.0,-0.8448010797835162,0.03359420382788523,97.41868287703255,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:1,1,-3.7975859412114614,0.4267828213450889,4.2243687625565505,0.6760861640692407,0.3955449882173096,0.015750206871432065
3,SBEED,12000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.467800385687406,1.9622884434960658e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.043385273138826425,0.03188662373621607,-0.8291245711636082,1.0,-0.8448028814481757,0.03359331351342325,98.3610056139878,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:2,1,-3.797561459875951,0.4267847981422597,4.224346258018211,0.6760938728528636,0.3955440850704431,0.01575015016846241
4,SBEED,16000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4684255651635614,1.962615573354719e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.04338147964782946,0.03188039960056932,-0.8291245711636082,1.0,-0.8447978714490743,0.03358381764533808,99.74597222398734,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:3,1,-3.7975492511223106,0.4267857989053505,4.224335050027661,0.67609780020788,0.3955436424030655,0.015750111863849774
5,SBEED,20000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4688506789151103,1.9625665073520523e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.04336110708338923,0.03186289518011965,-0.8291245711636082,1.0,-0.8447939136282567,0.033571213558074506,101.78523326700088,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:4,1,-3.797563880568972,0.4268320664545845,4.224395947023557,0.6761055670197531,0.395547613300596,0.015742299955805582
6,SBEED,4000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5557673313208145,1.962247548429143e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.18859009236674146,0.13571941547446714,-0.9096788631429237,0.95,-0.9384980261742114,0.16724946632790996,113.7818634279538,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:5,1,-3.8647566480803226,0.40468414714197815,4.269440795222301,0.6720692665725517,0.36492967142895494,0.011268677495378278
7,SBEED,8000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5504081303501414,1.9708168903637287e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.23694050326687344,0.1712460112638005,-0.9415812279361628,0.91,-0.9540175869079984,0.20187181676416932,114.68580054800259,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:6,1,-3.866177834403559,0.39769359607698795,4.263871430480547,0.6717282830705676,0.36340421799713946,0.011309456070466479
8,SBEED,12000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5488595087238135,1.973827698491777e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.23613081512073536,0.1703190228362315,-0.9247018860848162,0.93,-0.9583843160252677,0.20477146795245266,115.66867577494122,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:7,1,-3.867242365489291,0.3982357956998476,4.265478161189138,0.6712436443746723,0.36287253340229764,0.011261283446843276
9,SBEED,16000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.557038168247064,1.97554464937627e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.21823746850793452,0.15714725492458337,-0.9257156567145449,0.93,-0.9493681197583906,0.18951050781924939,118.81169303698698,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:0,1,-3.8655632415594954,0.4035723997460708,4.269135641305566,0.6692085707686728,0.36201531226031874,0.010996608066821598
10,SBEED,20000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.556876014934485,1.9724042404289786e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.22950461400350858,0.16501460537588672,-0.940782943688146,0.92,-0.9544634709366581,0.19847971511362056,120.99779923801543,3000,0.0001,1.0,0.003,0.001,0.003,500.0,1,,cuda:1,1,-3.8639722520046003,0.4032774257088695,4.26724967771347,0.6683720238055509,0.3614928628821222,0.0110089513322818
